Record ID,project_status,Year announced,year_announced,tech_class,is_blue,Region major,region_EU27,Primary end use sector,T1_narrow,T2_broad,T3_strict,export_to_eu,log_capacity,cancel_A,cancel_B,cancel_C,cancel_D,operating
CETPROJH2916,On-hold (assumed),2021.0,2021,Green,0,Europe (EU-27),1,Transport (road),0,1,0,0,4.477336814478207,0,0,0,1,0
CETPROJH2915,Under construction,2021.0,2021,Green,0,Europe (EU-27),1,Transport (road),0,1,0,0,6.957497370876951,0,0,0,0,0
CETPROJH2914,Under construction,2021.0,2021,Green,0,Europe (EU-27),1,Other,0,1,0,0,3.6109179126442243,0,0,0,0,0
CETPROJH2913,On-hold (assumed),2021.0,2021,Green,0,Europe (EU-27),1,Industry (other),0,1,0,0,6.55250788703459,0,0,0,1,0
CETPROJH2912,Fully commissioned,2019.0,2019,Green,0,Europe (EU-27),1,Transport (road),0,1,0,0,3.8066624897703196,0,0,0,0,1
CETPROJH2911,On-hold (assumed),2021.0,2021,Blue_CCS,1,Europe (EU-27),1,Industry (other),0,1,0,0,11.218030777366073,0,0,0,1,0
CETPROJH2910,Fully commissioned,2017.0,2017,Green,0,Europe (EU-27),1,Gas grid,0,1,0,0,3.091042453358316,0,0,0,0,1
CETPROJH291,Decommissioned,2012.0,2012,Green,0,North America,0,Unknown,0,0,0,0,2.0794415416798357,0,1,1,0,0
CETPROJH2909,On-hold (assumed),2020.0,2020,Green,0,Europe (EU-27),1,Industry (other),0,1,0,0,8.377241230988792,0,0,0,1,0
CETPROJH2908,On-hold (assumed),2020.0,2020,Green,0,Europe (EU-27),1,Industry (other),0,1,0,0,5.673323267171493,0,0,0,1,0
CETPROJH2907,Fully commissioned,2018.0,2018,Green,0,Europe (EU-27),1,Gas grid,0,1,0,0,2.4849066497880004,0,0,0,0,1
CETPROJH2906,Fully commissioned,2017.0,2017,Green,0,Europe (EU-27),1,Transport (road),0,1,0,0,2.6390573296152584,0,0,0,0,1
CETPROJH2905,Decommissioned,2016.0,2016,Green,0,Europe (EU-27),1,Transport (other),0,1,0,0,0.0,0,1,1,0,0
CETPROJH2904,Decommissioned,2016.0,2016,Green,0,Europe (EU-27),1,Transport (other),0,1,0,0,1.3862943611198906,0,1,1,0,0
CETPROJH2903,On-hold (assumed),2019.0,2019,Green,0,Europe (EU-27),1,Transport (road),0,1,0,0,8.922791623969637,0,0,0,1,0
CETPROJH2902,On-hold (assumed),2021.0,2021,Green,0,Europe (EU-27),1,Industry (refinery feedstock),1,1,1,0,7.422373700986824,0,0,0,1,0
CETPROJH2901,On-hold (assumed),2020.0,2020,Green,0,Europe (EU-27),1,Gas grid,0,1,0,0,9.19023970026918,0,0,0,1,0
CETPROJH2900,On-hold (assumed),2021.0,2021,Green,0,Europe (EU-27),1,Transport (road),0,1,0,0,5.19295685089021,0,0,0,1,0
CETPROJH290,Fully commissioned,2020.0,2020,Green,0,North America,0,Gas grid,0,0,0,0,4.04305126783455,0,0,0,0,1
CETPROJH2899,Fully commissioned,2019.0,2019,Green,0,Europe (EU-27),1,Transport (road),0,1,0,0,3.9512437185814275,0,0,0,0,1
CETPROJH2898,Under construction,2017.0,2017,Green,0,Europe (EU-27),1,Industry (refinery feedstock),1,1,1,0,9.19023970026918,0,0,0,0,0
CETPROJH2897,On-hold (assumed),2021.0,2021,Green,0,Europe (EU-27),1,Industry (chemical feedstock),1,1,1,0,9.858803944909488,0,0,0,1,0
CETPROJH2896,On-hold (assumed),2022.0,2022,Green,0,Europe (EU-27),1,Industry (other),1,1,1,0,10.05113139444869,0,0,0,1,0
CETPROJH2895,On-hold (assumed),2021.0,2021,Green,0,Europe (EU-27),1,Industry (other),0,1,0,0,10.967404871407352,0,0,0,1,0
CETPROJH2894,Fully commissioned,2016.0,2016,Green,0,Europe (EU-27),1,Industry (other),0,1,0,0,2.6390573296152584,0,0,0,0,1
CETPROJH2893,Fully commissioned,2015.0,2015,Green,0,Europe (EU-27),1,Transport (road),0,1,0,0,1.791759469228055,0,0,0,0,1
CETPROJH2892,Decommissioned,2011.0,2011,Green,0,Europe (EU-27),1,Gas grid,0,1,0,0,0.0,0,1,1,0,0
CETPROJH2891,Decommissioned,2011.0,2011,Green,0,Europe (EU-27),1,Gas grid,0,1,0,0,0.0,0,1,1,0,0
CETPROJH2890,Fully commissioned,2016.0,2016,Green,0,Europe (EU-27),1,Transport (road),0,1,0,0,3.4011973816621555,0,0,0,0,1
CETPROJH289,Fully commissioned,2021.0,2021,Green,0,North America,0,Gas grid,0,0,0,0,3.8501476017100584,0,0,0,0,1
CETPROJH2888,Fully commissioned,2010.0,2010,Green,0,Europe (EU-27),1,Unknown,0,1,0,0,2.3978952727983707,0,0,0,0,1
CETPROJH2883,On-hold (assumed),2021.0,2021,Green,0,Europe (non EU-27),0,Transport (road),0,0,0,0,7.244941546337007,0,0,0,1,0
CETPROJH2882,On-hold (assumed),2021.0,2021,Green,0,Europe (non EU-27),0,Transport (road),0,0,0,0,6.042632833682381,0,0,0,1,0
CETPROJH2881,On-hold (assumed),2021.0,2021,Green,0,Europe (non EU-27),0,Transport (road),0,0,0,0,4.727387818712341,0,0,0,1,0
CETPROJH2880,Plans cancelled,2021.0,2021,Green,0,Europe (non EU-27),0,Transport (other),0,0,0,0,4.812184355372417,1,1,1,1,0
CETPROJH288,On-hold (assumed),2020.0,2020,Green,0,North America,0,Gas grid,0,0,0,0,6.720220155135295,0,0,0,1,0
