CATE_dml,CATE_t_learner,log_capacity,years_since_announce,region_eu,region_na,region_asia,post_cbam_proposal,sponsor_corporate
0.11466909668460853,0.2917194366339426,1.6094379124341003,14.0,1,0,0,0,0
0.02524599882373122,0.17312155277540192,4.990432586778736,9.0,1,0,0,0,0
0.02149831897226469,0.17125630561672994,3.8066624897703196,9.0,1,0,0,0,0
0.007781737625640251,0.29162136719672416,3.4011973816621555,15.0,1,0,0,0,0
0.02444706759795723,0.17312155277540192,4.976733742420574,9.0,1,0,0,0,0
0.05911109740008866,0.2151389508524116,5.081404364984463,11.0,1,0,0,0,0
0.08062369654826249,0.21150658054327462,2.0794415416798357,11.0,1,0,0,0,0
0.030791412976313864,0.1731929813468305,5.147494476813453,9.0,1,0,0,0,0
0.05911109740008866,0.2151389508524116,5.081404364984463,11.0,1,0,0,0,0
0.046250129164057706,0.2905011845390518,5.272999558563747,12.0,1,0,0,0,0
0.05873319200706408,0.27587048508518636,2.5649493574615367,15.0,1,0,0,0,0
0.10195135251893003,0.2896619536697506,3.4011973816621555,12.0,1,0,0,0,0
-0.053739051329741265,0.2923009342004792,5.081404364984463,15.0,1,0,0,0,0
0.08416374238916137,0.28476546518370865,0.0,15.0,1,0,0,0,0
0.05407576775863486,0.3358595167517904,13.74182526569959,4.0,0,1,0,1,0
0.04265085861333218,0.2916414038960518,5.081404364984463,13.0,1,0,0,0,0
0.09844068846691068,0.2908251909295639,3.4657359027997265,13.0,1,0,0,0,0
0.03772774812636606,0.17554616139843923,4.61512051684126,10.0,1,0,0,0,0
0.04265085861333218,0.2916414038960518,5.081404364984463,13.0,1,0,0,0,0
-0.053739051329741265,0.2923009342004792,5.081404364984463,15.0,1,0,0,0,0
0.04030895160150778,0.29202300257328284,4.5217885770490405,14.0,1,0,0,0,0
0.05911109740008866,0.2151389508524116,5.081404364984463,11.0,1,0,0,0,0
-0.17004754120936857,0.2923009342004792,5.081404364984463,16.0,1,0,0,0,0
-0.053739051329741265,0.2923009342004792,5.081404364984463,15.0,1,0,0,0,0
0.007781737625640251,0.29162136719672416,3.4011973816621555,15.0,1,0,0,0,0
0.024289398101057506,0.29238916949459687,5.225746673713202,14.0,1,0,0,0,0
-0.04709479081565657,0.29238916949459687,5.262690188904886,15.0,1,0,0,0,0
-0.03875388787662526,0.2919646692399495,4.07753744390572,15.0,1,0,0,0,0
-0.028869009781734983,0.2916982476713221,3.9512437185814275,15.0,1,0,0,0,0
-0.043350711703503714,0.29238916949459687,5.327876168789581,15.0,1,0,0,0,0
0.04875130707077986,0.17723208083718764,5.327876168789581,10.0,1,0,0,0,0
0.041996248400557185,0.2917296391901695,5.303304908059076,13.0,1,0,0,0,0
-0.0415131549337815,0.2926014501963512,5.3706380281276624,15.0,1,0,0,0,0
0.06469469776604705,0.26459454437751573,6.90875477931522,15.0,1,0,0,0,0
0.0010169547057947998,0.038492128147567396,5.902633333401366,5.0,0,1,0,1,0
0.09055348895468657,0.2778259034605898,0.0,19.0,1,0,0,0,0
0.09055348895468657,0.2778259034605898,0.0,19.0,1,0,0,0,0
0.07873327562273569,0.29162136719672416,3.4011973816621555,14.0,1,0,0,0,0
-0.06393730487723724,0.2293503557579767,5.7745515455444085,19.0,1,0,0,0,0
-0.06643183118960932,0.24607626206458744,5.8377304471659395,16.0,1,0,0,0,0
-0.1538958831658606,0.2916982476713221,3.784189633918261,16.0,1,0,0,0,0
-0.18543863125133572,0.2678050479482096,3.9889840465642745,19.0,1,0,0,0,0
-0.06643183118960932,0.24607626206458744,5.8377304471659395,16.0,1,0,0,0,0
