Region major,cbam_endex,log_cap,year_announced,is_blue,cancel_B,cate,cate_lo,cate_hi,cate_significant
Asia-Pacific,0,6.647688373563329,2022,0,0,0.03804172920096665,-0.11393018447630265,0.19001364287823594,0
Asia-Pacific,0,0.0,2021,0,0,0.20470426772029962,-0.11262828084384438,0.5220368162844434,0
Middle East,0,3.828641396489095,2018,0,0,0.3747307947091932,0.10423950250099168,0.6452220869173955,1
Asia-Pacific,0,1.3862943611198906,2016,0,0,0.22102040050010177,-0.28104122153700606,0.7230820225372097,0
Asia-Pacific,0,2.70805020110221,2020,0,0,0.1618293832611176,-0.14052935987547627,0.46418812639771134,0
Asia-Pacific,0,2.302585092994046,2017,0,0,0.23514794758401789,-0.40130431359216423,0.8716002087601997,0
Asia-Pacific,0,9.09268232850795,2012,1,1,0.0284367700461622,-0.16736044230402924,0.22423398239635361,0
Asia-Pacific,0,0.0,2017,0,0,0.25500298695355333,-0.1138995618409544,0.623905535748061,0
Asia-Pacific,0,0.6931471805599453,2017,0,0,0.24383741650841498,-0.05808251250468727,0.5457573455215171,0
Asia-Pacific,0,0.0,2017,0,0,0.25500298695355333,-0.1138995618409544,0.623905535748061,0
Asia-Pacific,0,0.0,2012,0,1,0.20032624683181482,-0.161468024915152,0.5621205185787814,0
Asia-Pacific,0,0.0,2016,0,0,0.24139789564111602,-0.18610770664336465,0.6689034979255971,0
Asia-Pacific,0,1.9459101490553132,2020,0,0,0.1450481619317968,-0.17495573667038605,0.46505206053397974,0
Asia-Pacific,0,0.0,2014,0,1,0.26819083231348256,-0.1775293588447313,0.7139110234716961,0
Asia-Pacific,0,0.0,2016,0,0,0.24139789564111602,-0.18610770664336465,0.6689034979255971,0
Middle East,1,12.388398368982115,2019,1,0,0.05885806878401071,-0.11850504306418785,0.2362211806322092,0
Asia-Pacific,0,5.420534999272286,2018,0,0,0.24373620712478328,-0.054549634194814955,0.5420220484443814,0
Asia-Pacific,0,2.995732273553991,2015,0,1,0.23466819095046537,-0.3076851124986092,0.7770214943995397,0
Asia-Pacific,0,7.581209826196346,2021,1,0,-0.0052482495429321116,-0.12040437436802996,0.10990787528216571,0
Asia-Pacific,0,10.085850775128717,2021,0,0,-0.011059647812805821,-0.17334460666328916,0.15122531103767745,0
Europe (non EU-27),0,0.0,2022,0,1,0.21990690212143274,-0.18682208041935036,0.6266358846622159,0
Asia-Pacific,0,4.6443908991413725,2018,0,0,0.3157043592486921,-0.10264120066192067,0.7340499191593046,0
Europe (non EU-27),0,0.6931471805599453,2020,0,0,0.24872500707069606,-0.09745127850187935,0.5949012926432713,0
Asia-Pacific,0,7.2868764117507,2021,1,0,0.01227900132322918,-0.08751558368705159,0.11207358633350989,0
Asia-Pacific,0,7.0909098220799835,2021,1,0,-0.13223578448082204,-0.3295571596021344,0.06508559064049041,0
Asia-Pacific,0,0.0,2012,0,0,0.20032624683181482,-0.161468024915152,0.5621205185787814,0
Asia-Pacific,1,7.324489979348532,2012,0,0,0.05928430478104494,-0.13860685729926564,0.2571754668613554,0
Asia-Pacific,0,10.596659732783579,2020,1,0,-0.08609626176905226,-0.2834858636402239,0.11129334010211939,0
Asia-Pacific,0,2.833213344056216,2018,0,0,0.28005245869878576,-0.3575590117494739,0.9176639291470453,0
Asia-Pacific,0,5.703782474656201,2020,0,0,0.22103710428284454,-0.14482015675613183,0.5868943653218209,0
Asia-Pacific,0,0.0,2012,0,0,0.20032624683181482,-0.161468024915152,0.5621205185787814,0
Asia-Pacific,0,4.356708826689592,2016,0,0,0.27937791365583603,-0.21997797617805415,0.778733803489726,0
Asia-Pacific,0,0.0,2010,0,0,0.1891020622084181,-0.18812113425409285,0.5663252586709291,0
Asia-Pacific,1,7.0909098220799835,2022,0,0,0.023893611582937062,-0.10884635045723587,0.15663357362310987,0
Asia-Pacific,0,5.1298987149230735,2017,1,1,0.33369481728966655,-0.10921036947749518,0.7766000040568283,0
Asia-Pacific,0,0.0,2018,0,0,0.27226765742390574,-0.1355801589515907,0.6801154737994021,0
Africa,0,0.6931471805599453,2020,0,0,0.24872500707069606,-0.09745127850187935,0.5949012926432713,0
Africa,0,3.6109179126442243,2022,0,0,0.18971512759230783,-0.017148799417531363,0.39657905460214704,0
Africa,1,1.6094379124341003,2020,0,0,0.2336376660799515,-0.19994929208806547,0.6672246242479685,0
Africa,0,1.9459101490553132,2021,0,0,0.23644974568147148,-0.11642218366560758,0.5893216750285507,0
Asia-Pacific,0,5.641907070938114,2024,0,0,0.17385978579743122,-0.14213106201980918,0.48985063361467146,0
Asia-Pacific,0,0.0,2024,0,0,0.20202165478952566,-0.11744945820210889,0.5214927677811598,0
Asia-Pacific,0,4.61512051684126,2022,0,0,0.14127943111588773,-0.01068849708288544,0.2932473593146607,0
Asia-Pacific,0,0.0,2026,0,0,0.19921394417227828,-0.11295989894098346,0.5113877872855397,0
Africa,0,13.255897270025727,2021,1,1,0.034853703330662705,-0.17258678624881837,0.24229419291014376,0
Europe (EU-27),0,2.3978952727983707,2020,0,0,0.23523486284408007,0.06873266706583406,0.4017370586223261,1
Europe (EU-27),0,1.9459101490553132,2020,0,0,0.23147449584430396,0.017835631094022003,0.44511336059458606,1
Europe (EU-27),0,3.912023005428146,2026,0,0,0.24166930634480993,0.012412504098409799,0.47092610859120965,1
Europe (EU-27),1,7.650168700845001,2026,0,0,0.13012457119244172,-0.05881089077405452,0.31906003315893794,0
Europe (EU-27),1,8.497194544909547,2025,0,0,0.10934499633184348,-0.0752335834471371,0.2939235761108241,0
Asia-Pacific,1,4.356708826689592,2026,0,0,0.15400754647407316,-0.03571726324725394,0.3437323561954002,0
Asia-Pacific,0,4.07753744390572,2026,0,0,0.13572901073342858,-0.09791775649493109,0.36937577796178755,0
Asia-Pacific,1,0.0,2017,1,0,0.22133825610398777,-0.07543785684616922,0.5181143690541448,0
Latin America,0,0.6931471805599453,2026,0,0,0.2070465166187963,-0.04306767249871818,0.4571607057363106,0
Europe (EU-27),0,4.07753744390572,2021,0,0,0.2469649357123962,0.04581357501833386,0.44811629640645856,1
Europe (EU-27),0,3.091042453358316,2018,0,0,0.2414402078467194,0.01522271238232778,0.467657703311111,1
North America,0,0.0,2014,1,1,0.24030057020084702,-0.07991478267013974,0.5605159230718337,0
