project_id,year_calendar,is_blue_ccs,event_any_yr,p_M1,loss_M1,p_M2,loss_M2,p_M3,loss_M3
387,2025,0,0,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10
387,2026,0,0,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10
388,2024,1,0,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10
388,2025,1,0,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10
388,2026,1,0,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10
389,2024,0,0,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10
389,2025,0,0,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10
389,2026,0,0,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10
390,2024,0,0,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10
390,2025,0,0,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10
390,2026,0,0,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10
391,2024,0,0,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10
391,2025,0,0,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10
391,2026,0,0,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10
392,2024,0,0,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10
392,2025,0,0,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10
392,2026,0,0,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10
393,2022,1,0,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10
393,2023,1,0,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10
393,2024,1,0,1.2836529602175484e-10,1.2836531838302897e-10,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10
