project_id,is_blue_ccs,log_capacity_mw,region,sponsor_type,sponsor_owner,tech,year_announced,duration,event_any,event_type
505,0,1.791759469228055,EU,Unknown,Unknown,PEM,2023.0,3,0,0
506,0,0.0,EU,Unknown,Unknown,PEM,2023.0,3,0,0
507,1,0.0,North_America,Other,BASF SE,Blue_CCS,2023.0,1,1,1
508,0,2.3978952727983707,EU,Other,Lhyfe SA,PEM,2023.0,3,0,0
509,0,0.7371640659767197,Asia,Unknown,Unknown,PEM,2022.0,4,0,0
510,0,2.4087452888224363,North_America,Other,Avina Clean Hydrogen Inc.,PEM,2023.0,3,0,0
511,0,4.927253685157205,North_America,Unknown,Unknown,PEM,2022.0,4,0,0
512,0,4.927253685157205,North_America,Unknown,Unknown,PEM,2022.0,4,0,0
513,0,1.791759469228055,Other,Unknown,Unknown,PEM,2023.0,3,0,0
514,0,1.791759469228055,EU,Unknown,Unknown,PEM,2023.0,1,1,1
515,1,0.0,North_America,Other,LowCarbon Hydrogen Corporation,Blue_CCS,2023.0,3,0,0
516,1,0.0,Other_Europe,Unknown,Unknown,Blue_CCS,2023.0,3,0,0
517,0,2.3978952727983707,North_America,Unknown,Unknown,PEM,2021.0,5,0,0
518,1,0.0,North_America,Other,Southern Rock Energy Partners LLC,Blue_CCS,2023.0,3,0,0
519,0,0.6312717768418579,Other,Unknown,Unknown,PEM,2023.0,3,0,0
520,0,1.3862943611198906,Other,Unknown,Unknown,PEM,2023.0,3,0,0
521,0,5.303304908059076,EU,Unknown,Unknown,PEM,2023.0,3,0,0
522,0,6.90875477931522,EU,Unknown,Unknown,PEM,2023.0,3,0,0
523,0,6.90875477931522,EU,Unknown,Unknown,PEM,2023.0,3,0,0
524,1,0.0,North_America,Other,Pembina Pipeline Corp,Blue_CCS,2023.0,3,0,0
525,0,1.791759469228055,Other_Europe,Unknown,Unknown,PEM,2023.0,3,0,0
526,0,1.791759469228055,EU,Unknown,Unknown,PEM,2023.0,3,0,0
527,0,1.3862943611198906,Other,Unknown,Unknown,PEM,2021.0,5,0,0
528,0,0.6931471805599453,North_America,Unknown,Unknown,PEM,2023.0,3,0,0
529,1,0.0,Other,Unknown,Unknown,Blue_CCS,2023.0,3,0,0
530,0,0.6931471805599453,EU,Unknown,Unknown,PEM,2021.0,5,0,0
531,1,0.0,Asia,Other,Hanyang Corporation,Blue_CCS,2023.0,3,0,0
532,0,1.252762968495368,Asia,Unknown,Unknown,PEM,2023.0,3,0,0
533,0,3.9318256327243257,Asia,Other,"Jilin Electric Power Co.,Ltd.",PEM,2023.0,3,0,0
534,0,0.6931471805599453,Other,Other,Matrai Eromu ZRt.,PEM,2023.0,3,0,0
535,0,2.3978952727983707,EU,Other,Rolls-Royce plc,PEM,2022.0,4,0,0
536,1,0.0,North_America,Other,Copenhagen Infrastructure Partners P/S,Blue_CCS,2023.0,3,0,0
537,1,0.0,ANZ,Other,Hydrogen Energy Ltd,Blue_CCS,2023.0,3,0,0
538,0,2.1972245773362196,EU,Unknown,Unknown,PEM,2023.0,3,0,0
539,0,2.772588722239781,Other_Europe,Other,Hyro Energy Limited,PEM,2021.0,5,0,0
540,0,1.791759469228055,EU,Unknown,Unknown,PEM,2023.0,3,0,0
541,1,0.0,North_America,Unknown,Unknown,Blue_CCS,2023.0,3,0,0
